"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4eedb50399968e2c76009cab","Dev feat. Enrique <3","","Naked","238","","","","",""
"511935ffcf683a583ede6218","Minnesota","Astral Projection EP","Relax","336","","","","spotify:track:5kukfGFBnBi9SsNskzZacT",""
"512050c09f81f31ed7d6b176","Big Sean (feat. Chris Brown)","Finally Famous","My Last (Explicit Version)","254","USUM71101896","Def Jam Records","True","spotify:track:2S8rKY8MAVnQ976ELkHli3","00602527768373"
"519cdad50f812c1d219e9ced","Daft Punk","Random Access Memories","The Game of Love","321","USQX91300102","Columbia","False","spotify:track:3ctALmweZBapfBdFiIVpji","886443927087"
"519cdd4e2e38175a3bebbd26","Daft Punk","Random Access Memories","Touch","498","USQX91300107","Columbia","False","spotify:track:7oaEjLP2dTJLJsITbAxTOz","886443927087"
"50d39012cf683a1ada1c0f0a","Calvin Harris Feat. Ellie Goulding","18 Months","I Need Your Love (Luke Shay Remix)","236","","","","",""
"5141ef3ccf683a2ae8c287ea","Distantt","","Corey Bacon Strips & Bacon Strips 40K PARTY Minimix","300","","","","",""
"519d75dbcf683a1a14e793c2","Jackal Queenston","Conquer","Wormhole","178","","","","",""
"519cdad90f812c1d2a7f36f3","Daft Punk","Random Access Memories","Within","228","USQX91300104","Columbia","False","spotify:track:7Bxv0WL7UC6WwQpk9TzdMJ","886443927087"
"519d75ebcf683a1a1f414875","Jackal Queenston","Conquer","Suffering","189","","","","",""
"519d75facf683a1a0b855fde","Jackal Queenston","Conquer","Mechanized","202","","","","",""
"519d761acf683a1a0b855fe2","Jackal Queenston","Conquer","Pay Respect","182","","","","",""
"519d762fcf683a1a17a78a7f","Jackal Queenston","Conquer","The Zone","281","","","","",""
"519cda6b0f812c1d1fa9de5d","Daft Punk","Random Access Memories","Lose Yourself to Dance","353","USQX91300106","Columbia","False","spotify:track:5CMjjywI0eZMixPeqNd75R","886443927087"
"4fbe75f8cf683a1edb0001c2","Avicii","Silhouettes [Disco Fries Remix]","Silhouettes [Disco Fries Remix]","494","","","","",""
"514b70b3cf683a7080fd4fb6","OVERWERK","Promotional","12:30","314","","","","",""
"50461fe8cf683a631d004c98","Unknown","","Untitled","231","","","","",""
"519d760acf683a1a0e10be49","Jackal Queenston","Conquer","Back Home","200","","","","",""
"4fd3f87ecf683a11fb000041","Madeon","Madeon Remixes","Pendulum - The Island (Madeon remix)","246","","","","",""
"51a91d02cf683a3ea7f0f594","One Republic","","One Republic ? If I Lose Myself (PRFFTT & Svyable Remix)","277","","","","",""
"5121ee999f81f31ed7fd11cb","Madeon","The City","Icarus (Live Version)","310","GBARL1201734","popcultur","False","spotify:track:3O1jfpFsvDLhSQGGvqhOs0","886443658394"
"5121ab209f81f31ed7f8749a","Netsky","2","The Whistle Song (feat. Dynamite MC)","279","GBCJY1200133","Hospital Records","False","spotify:track:1sVixaoUWsvKq8K3KCVdBV","5060208842777"
"5146bb310f812c28c548f05d","Twinz Beatz","Kronos/Yoshi E.P.","Kronos","300","NLS241202154","Deal Records/Cloud 9 Dance","False","spotify:track:6bMRyOUyrltHa5J4ZU1ler","8718521007843"
"512193969f81f31ed7f71de7","A-Trak & Dillon Francis","Money Makin'","Money Makin'","259","QMSDU1200053","Fool's Gold Records","False","spotify:track:63o0qE4j0B0ko7AAVxfVCq","856730003268"
"5121d93f9f81f31ed7fb25b0","Madeon","The City","The City","233","GBARL1201025","popcultur","False","spotify:track:59iJua476fbi3PbddfPrez","886443631991"
"518b5a83cf683a53f234cec3","Mat Zo & Porter Robinson","Easy","Easy (Radio Edit)","213","GBCEN1201498","ASTRALWERKS","False","spotify:track:03p1o66Hn130t8TzeLLi34","00602537401482"
"5121eeed9f81f31ed7fd18bc","Zedd (feat. Foxes)","Clarity","Clarity","271","USUM71210662","Interscope","False","spotify:track:60wwxj6Dd9NJlirf84wr2c","00602537160983"
