"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"5195847ecf683a1a1f40fea9","Unknown","","Untitled","205","","","","",""
"5144c093cf683a5eb83c6edd","3rd sidek!ck k song","","Hello (sidek!ck)","340","","","","",""
"5137be55cf683a4cade3ffa9","DJ Trademark","Good And Gone - Single","Good And Gone (Unreleased)","201","","","","",""
"519b8a12cf683a1a05f14946","DJ Topsider","This Feeling - Single","This Feeling (Usher x Icona Pop x Hyper Crush x Vicetone & Zedd)","278","","","","",""
"51421865cf683a2acfe18121","Truxton","Panic Protocol","Hellfire Hounds Invade The Earth","226","","","","",""
"51aa89bbcf683a3eb0118c26","Techie","Head Trip","High","176","","","","",""
"518f1b4bcf683a53f234fab1","Ricky Cervantes","Zero to Hero - Single","Zero to Hero (Swedish House Mafia v. Netsky)","183","","","","",""
"4fb40dc5cf683a790000147c","Dr. Brixx","The First Year","Downfall of 2012 (Album Version)","177","","","","",""
"4ddec786845daf50fb0003d8","lobsterdust","djlobsterdust.com","Knock Out Eileen (L L Cool J vs. Dexy's Midnight Runners)","203","","","","",""
"5112e4b2cf683a5838e7588b","Ricky Cervantes","Something About Heights","Pulse (Tegan & Sara v. MADE IN HEIGHTS)","231","","","","",""
"514218efcf683a2ad863783a","Truxton","Panic Protocol","Dumb Track","251","","","","",""
"51675a93cf683a1af9dc79bd","Manila Killa","EARMILK.COM","Mr. Brightside (Madeon x The Killers x Avicii)","225","","","","",""
"51aa9a3bcf683a3eb62140c6","Katy Perry x Thomas the Train","","CHOO CHOO WUT","40","","","","",""
"50da5172cf683a1af405b776","DJ BgM","Super Mario 64 Mixtape","Super Mario Dance","184","","","","",""
"4f727eb4c7d26c4d040067f0","djDOYOU","Stuntin Like Mufasa","Stuntin Like Mufasa (Simba vs. Lil Wayne)","197","","","","",""
"4f7bb6a8c7d26c4d01008fb5","5 & A Dime","Breaking Spring (Single)","Breaking Spring","229","","","","",""
"5142192ecf683a2ade159522","Truxton","Panic Protocol","Yeah Yeah Baby Yeah Up In Here Yeah Baby Getcha Getcha","193","","","","",""
"51aa9ca9cf683a3ebc012287","DJ MashHawk","Facebook.com/MashHawk","Doing Mrs. Officer Right","260","","","","",""
"5081b8a8cf683a7f45008f4b","3LAU","","All Night Long (LMFAO, Ellie G, Mann, Darth & Vader)","218","","","","",""
"513c0f80cf683a4cb13df45d","Truxton","Panic Protocol","Bitch Clap","236","","","","",""
"503db762cf683a630e002520","Bubba Sparxxx/Ying Yang Twins/Alan Menken","","Under the Booty","196","","","","",""
"51956ff5cf683a1a1eca94b3","Kap Slap","WRECKED 10K Celebration Mixtape","Say My Name (WRECKED 10K Celebration 3LAU Remash)","294","","","","",""
"4e208d3699968e026a000d45","Dotcom","DJ Dotcom","90's Paint Job","217","","","","",""
"51421885cf683a2ae9a482de","Truxton","Panic Protocol","Automaton Astrosmash","342","","","","",""
"52685f689f81f334401e1342","David Guetta","Nothing But the Beat 2.0","She Wolf (Falling to Pieces) [feat. Sia]","222","GB28K1200043","EMI France","False","spotify:track:56fwHfJaBpaauvFJrnwk2L","5099997943051"
"4e0c1c1c99968e58e4002934","The Reborn Identity","American Days Are Over","American Days Are Over [Florence + The Machine vs. Don McLean]","255","","","","",""
"51421955cf683a2ade15952a","Truxton","Panic Protocol","White Dog Problems is What's Up","270","","","","",""
"511ef8cacf683a077c390ba0","Truxton","ON Trax Vol. 5","2 Old 2 Sober","208","","","","",""
"510af115cf683a1be48e3b48","17. Shrizyan","810","Drop It Sister","136","","","","",""
"4f84ac69c7d26c793c00201c","Kanye West","","Ft, Jay-Z & Swizz Beatz - Power (Remix)","331","","","","",""
"516df5facf683a4b847f339f","DJ Topsider","Summer in Chicago - Single","Summer in Chicago (Earth Wind & Fire & James Egbert x Big Sean x John Dahlback) [Bootleg]","319","","","","",""
"51421914cf683a2ae9a482ee","Truxton","Panic Protocol","Choo Choo","283","","","","",""
"517db3b5cf683a3767ff7037","Daft Punk ft. Pharrell Williams vs. Justin Timberlake ft. Jay-Z","SmadaLeinad Mashups","Lucky Suit & Tie","264","","","","",""
"50601628cf683a3bcf00175f","Frail Limb Purity","","Foo Fighters v. Netsky","275","","","","",""
"5121cf439f81f31ed7fa51ea","Basto","Again and Again","Again and Again (Extended Mix)","307","NLC281112115","Spinnin' Records","False","spotify:track:0pIVR6niUwxRKP4yERLLj6","8712944428292"
"4f35d02fc7d26c4af6000de4","DJ Zutopian","DJ Zutopian","Those numb kids","347","","","","",""
"512ce5f24fb0bb58bd9baeb8","Re Beatles","Fanthology","Come Together","257","DEHQ91016309","Rockwerk Records","False","spotify:track:6yhUo60ba4GKlajsJtohNk","4260125291950"
"519551a3cf683a1a1f40fc52","Foxsky","","Kirby Smash","233","","","","",""
"5121ef269f81f31ed7fd1d60","Madeon feat. Nicholas Petricca","The City","Finale (Netsky Remix)","295","GBARL1201350","popcultur","False","spotify:track:048AbE9LVZn2qc4mKxoEO9","886443658394"
"514218aecf683a2ae1f574f5","Truxton","Panic Protocol","Alexandrian Ricochet Sphere","312","","","","",""
