"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"523a1b4feb35c16b060554d8","Optiv & CZA","","Back To The Future","315","","","","",""
"523a1b95eb35c16b060554db","Agressor Bunx","","Sleeping Sun","324","","","","",""
"51ce0d97df5bcf7487e9c843","Camo & Krooked","Viper 50 (Viper Recordings 50th Release Remix EP)","Feel Your Pulse (Mind Vortex Remix)","252","GBTMZ1300215","Viper Recordings","False","spotify:track:1gS6Von1hWF1kSWKrEaweO","3610153044256"
"52811400eb35c1416d56b803","Skrillex","Try It Out","Try It Out (Put Em Up Mix)","322","USAT21303764","Big Beat Records/Owsla","False","","075679946751"
"5121f2569f81f31ed7fd5d5e","Medison","Harry","Harry (Barenoize Remix)","252","GBQXM1000118","Dented Records","False","spotify:track:1giJrrnPSZK8lXghiwdl9R","5060138301245"
"4e3747c799968e568e005d63","Fytch & Captain Crunch","","Raindrops (Tomba Remix)","242","","","","spotify:track:5LOKxc7bZtQZlkyUQrPEvV",""
"4edef3ec99968e3cb000b5c8","SPL & Crushington","Terraform EP","Mothra (Original Mix)","281","","","","",""
"51e434830f812c7f56883c7f","Phace & Misanthrop (feat. Noisia)","FABRICLIVE 70: Friction","Desert Orgy VIP / Diplodocus","341","GBEXH1300109","Fabric Worldwide","False","","0802560014080"
"4ec359d099968e3cc80017b4","Fourward","Episodes","Anti Ego (original mix)","357","","","","",""
"516c36d2cf683a4b7779fb31","Wickaman & Sudden Def","Play For Blood / The Way Things Were","Play For Blood","227","","","","spotify:track:7rnAEco2YxyCU5PLdjFSR1",""
"51039737cf683a28d127fb40","Disphonia","M-Atome Digital 014","Collapsed (Bionic1 Remix)","329","","","","spotify:track:1sH0enNbNzSXvjSc1xZI3U",""
"51016e4ecf683a28da3492b1","Fourward","Talk to Me","Stressed Out","275","","","","spotify:track:56INAIxjVoNyFARDG3zSp9",""
"4e8a80a299968e587c002619","ill.Gates & Mimosa","The ill.Methodology","Never Alone","206","","","","",""
