"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4ddec35f845daf1fa6003c97","Hyper","No Rockstars (2-Track Single)","No Rockstars (Bass Kleph Remix)","416","","","","spotify:track:36s2URvVsnQsPjFw51JmIa",""
"4ddb6c65845daf45b3000464","Delta Heavy","Space Time \/ Take The Stairs","Take The Stairs","320","","","","spotify:track:29zQpXaTbLfceGQbvXxR5x",""
"4ddef2da845daf1fa6005ec2","Skrein","Harry","Harry (Feat. Skrein) (Barenoize Remix)","252","","","","spotify:track:1giJrrnPSZK8lXghiwdl9R",""
"4dfbb2e99021681df2000282","Colin Stetson","New History Warfare Vol. 2: Judges","The Stars In His Head (Dark Lights Remix)","330","","","","spotify:track:0I2SvoGJH9vnaMBJ2WgN9t",""
"4f0f276c99968e383000c759","Saul Williams","The Inevitable Rise And Liberation Of Niggy Tardust","Sunday Bloody Sunday","245","US4HB0812304","Fader Label","False","spotify:track:4D55EpSkEIl9YASc0BwZ56",""
"4df0686c99968e6404000b3e","Pixies","Wave Of Mutilation: Best Of Pixies","Where Is My Mind?","229","","","","spotify:track:5BP0oaQ1VhuaznT77CBXQp",""
"4efa0f5099968e383e003362","Skrillex & Wolfgang Gartner","Bangarang EP","The Devil's Den","292","USAT21104245","Big Beat Records/Atlantic","True","spotify:track:687RRToOFAtpqZRzmbhGtu",""
"4dd5ad61e8a6c420820000a2","Doctor P","Sweet Shop \/ Gargoyle","Sweet Shop","274","","","","spotify:track:295nnPutAyvfXpVsfwJbga",""
"4decf3f1845daf200c000159","Cynic","Traced In Air","Evolutionary Sleeper","216","","","","spotify:track:1z11mqdNIszUDMgwEloMmw",""
"4df6ba8499968e6c290000d5","Ghost","Opus Eponymous","Ritual","268","","","","spotify:track:4hxd9xX8SNH0R2XSrXRATW",""
"5121e2f39f81f31ed7fc16c4","Dillinja","Drum & Bass Arena Anthology 2","Grimey","335","GBCEQ1100138","AEI","False","spotify:track:3ccQ0oZTPPmBpoxP1JABXR","5055199505510"
"5120f7da9f81f31ed7e92894","Periphery","Icarus EP","Icarus Lives! (Zedd Remix)","295","USYFZ0904806","Sumerian Records","False","spotify:track:1EN5viX5P9nUSx0hDcv3tP","894587001488"
"512072aa9f81f31ed7db34dc","I See Stars","The End Of The World Party","The End Of The World Party","196","USYFZ0904001","Sumerian Records","False","spotify:track:70RgCocDPEbjUuyDkYF1jj","894587001402"
"4ddb4003845daf413e000539","Sub-Focus","Rock It (5-Track Maxi-Single)","Rock It","303","","","","spotify:track:0V1Uv4P73MaAkTSqkb1iHV",""
"4ddb3c46845daf413e0003c0","R?yksopp","What Else Is There? (4-Track Remix Maxi-Single)","What Else Is There? (Trentemoller Remix)","461","FRS940500114","EMI France","False","spotify:track:2eUomofxqu973hHJJuIj51",""
"4e14dc8d99968e769e0016dd","Shakta","Silicon Trip","Neuromancer","298","GB62A0610145","","","spotify:track:4dwNpKwV6frR0TdOVEqchY",""
"4de91003845daf4ebd0007ae","Aesthetic Perfection","A Violent Emotion","Spit It Out","341","USHM80880340","","","spotify:track:3TQQia7NM2GwsiwiVZWrSC",""
"4de9157f845daf4eb90007f1","Throbbing Gristle","The Second Annual Report Of Throbbing Gristle","Maggot Death (Studio)","274","GBAJH0400337","","","",""
"4ddfd63d845daf33d600021a","Skinny Puppy","Remix Dystemper","Addiction (Gunter Schulz Of KMFDM Remix (Opium Mix))","395","","","","spotify:track:1kRX5G2o5I6I4tpGyG4UxB",""
"4de90fb1845daf4eb700079b","Sister Machine Gun","Transient 5.2","Transient 3: Caught Between The Bullet And You","508","","","","",""
"4de529ec845daf0d8c00034d","Dodge & Fuski","Come Again","Minus One","290","GB7YL1000803","","","spotify:track:4csmEluAQCIFUfAOtQKsDd",""
"4e38851a99968e5a8c0ae316","Bassnectar & ill.Gates","Divergent Spectrum","Probable Cause","228","USA2P1186537","","","spotify:track:7gv0mCxWB0XPZOpw7NZr2N",""
"4ddec36a845daf1fa6003c9e","Bass Kleph","I'll Be Ok Ep","I'll Be Ok (Superskank Remix)","385","CAQ221100005","","","spotify:track:7oOAjuDF9jFLEjH2vwLjUh",""
"4dff8a5a99968e72890001e6","Excision","Heavy Artillery (Skism Remix) \/ Reploid (Document One Remix)","Reploid (Remix)","281","","","","spotify:track:5NB0YRfjPgkhSajgadRyaC",""
"4e3ca80699968e5aa112c8ad","Mellee Fresh","Damelo","Damelo (Darth & Vader Mix)","345","CAPA31100594","","","spotify:track:034nAQ6wcefd7TFwlp2mfp",""
"4de07377845daf542a00018a","Entheogenic","Dialogue Of The Speakers","Without Thought (Youth Remix)","411","USHM90869860","","","spotify:track:5KSEsqk2HQROPtcOSPmjSk",""
"4de96b44845daf48030002ce","Bong-Ra","I Am The God Of Hellfire","Crack In The Mirror (featuring Mc Quest One)","296","NLF260600027","","","",""
"4e1cae0599968e6f28001314","Frodus","Molotov Cocktail Party","Sasquatch","197","USSEV0810088","","","spotify:track:1ASA2a6FdoXBYU03zccwNm",""
"4f57e4c399968e076505c9d9","Amish Rake Fight","Fellow Prisoners","Yes Josephine (T10D Mix)","331","","","","",""
"4e177d4599968e76a6002f76","Proem","Socially Inept","Pinching Point","226","USHM20452686","","","spotify:track:3gVMQyAUxpBTyuT9MEPN1x",""
"4f4a75b299968e0766029e34","MD","Between Gaps","5n9","262","USHM20489437","","","spotify:track:6bpCajILuOjQLqJm3APw4l",""
"4ddae4c7e8a6c47b51000b6c","The Flashbulb","Flexing Habitual","Lucid Bass III","294","CAAD20610960","","","spotify:track:4JUS2KCZj4fM5uS22JsBRD",""
"4e06112999968e0f5800313d","Receptor","Burning Up, Lullaby","Burning Up (Original Mix)","389","USI4R1059692","","","spotify:track:0DZdzm9canl8VzLZnCqzsL",""
