"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"5122065b9f81f31ed7fef478","David Guetta","Titanium","Titanium (Spanish Version)","238","GB28K1200058","Parlophone France","False","spotify:track:4ycYLHmksmuDEOnGXCdBs2","5099997934158"
"4fcc0393cf683a4d510006fa","Robbie Rivera","www.electronicfresh.com","Forever Young (Original Mix)","360","","","","spotify:track:5I4qgLnqpq7M5iI62C77NM",""
"4fc50734cf683a4afc000332","Giselle","","Silk (Ianborg Remix)","305","","","","",""
"4ee799e099968e2c7600014b","Will.I.Am","DigitalDripped.com","Great Times (Final)","285","","","","",""
"4f28666ac7d26c70d100394a","Owl City","Owl City: Live from Club Nokia, Los Angeles","5. Swimming In Miami/Umbrella Beach","462","","","","",""
"4fb5e431cf683a39f00000f3","M83","www.feelrealswag.com","Midnight City (Eric Prydz Private Remix)","397","","","","spotify:track:4IkgcBeRd6R8MJgdYWg4te",""
"4f6be885c7d26c4d22004b5d","Vengaboys","Now Thats What I Call Music - 43","Boom Boom","204","","","","spotify:track:2Ld2LehpgQNREMxl9LlIzm",""
"4f49de88c7d26c4afa005607","Phil Collins","...Hits","In the Air Tonight","331","","","","spotify:track:7Dbg5O9nNWu6SWxDjJ9qoq",""
"4e86813f99968e5875000ee7","Rihanna feat. Calvin Harris","Vacayvitamins.com","We Found Love (Alessio Silvestro Remix)","270","","","","",""
"4ed913ac99968e3cb2008d1f","One Direction","","What Makes You Beautiful","201","","","","spotify:track:4cluDES4hQEUhmXj6TXkSo",""
"4fce56b2cf683a0f95000024","B.o.B","Strange Clouds","So Good","206","","","","spotify:track:38lqyHftH5FWStAHjd664Q",""
"4fd566a4cf683a56930007c4","KDrew","If You Like It (KDrew Remix)","DJ White Shadow - If You Like It (KDrew Remix)","270","","","","spotify:track:5lGhuMW9gBMUdDvnNUh7C3",""
"4f05102ec7d26c297600047e","Kaskade ft Deadmau5","","Move For Me (MegaMan & Panic City remix)","349","","","","",""
"4ffe1318cf683a5c06000e99","Unknown","","Adele - Someone Like You (Vicetone Remix) Radio Edit www.soundsLARGE.com","315","","","","",""
"4ffe12e4cf683a5c0d000ea4","Vicetone Music","Vicetone Music","Vicetone - California (Original Mix)","375","","","","",""
"512050719f81f31ed7d6a809","Chumbawamba","Tubthumper","Tubthumping","278","USUR19700175","Universal/Island Def Jam","False","spotify:track:5YScXJKtefsgdskIy60N7A","00601215309928"
"4fcd846ecf683a4d2d000969","Deadmau5","","Fn Pig","532","","","","spotify:track:4CWJanuOcqbOjvMzK1z4uR",""
"4ffb57c5cf683a3c69003243","Delta Heavy ","www.DropCliff.com","Get By ","236","","","","spotify:track:59qiaXIrZMvor2T7fkupLp",""
"4fd030a8cf683a62c90002a0","The Wanted","","Glad You Came (TIMarbury Remix)","304","","","","",""
"50086e79cf683a302b00025b","Flo Rida"," ","Wild Ones (Maison & Dragen Remix)","278","","","","spotify:track:6X2MBftauHajL4YKB9FuBZ",""
"4f7b8712c7d26c4d2a008e45","Fun","","We Are Young (Reidiculous Remix)","330","","","","",""
"5011c4efcf683a44f300428d","Dada Life Vs Zedd Vs Skrillex Vs Benny Benassi Vs Bingo Players","Kick Out The Epic Motherf**ker","MotherF#cker (The Mu Bootleg)","424","SEUM71200336","Digital Distribution Armenia","","spotify:track:0L62VEEHVzBIhwuyfv6JNY",""
