"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"51248782cf683a340de4fcbf","The Aston Shuffle vs Tommy Trash vs Tony Romera","","Sunrise Pandor (Tommy Trash Bootleg)","333","","","","",""
"510769c2cf683a28dde5bc31","Savoy (ft Heather Bright)","","So Bad [Dubstep]","272","","","","",""
"50c9e7f6cf683a7f8c6f434f","Zedd","","Spectrum (Assertive Remix)","349","","","","",""
"512ab376cf683a341658344f","Arkasia","Revolution","Revolution","285","","","","",""
"51229785cf683a34243da5d1","Zedd Ft. Foxes","","Clarity (Tiesto Remix)","351","","","","",""
"516b6e04cf683a4b740804ba","The Mu Bootleg","","Rage Anthem (Nari and Milani vs Armin vs GTA vs R3HAB)","376","","","","",""
"515f6904cf683a224e4e4e7b","Little Daylight","House.NET","Overdose (The Chainsmokers Remix)","276","","","","",""
"5121ca739f81f31ed7f9fb01","Boys Noize","Oi Oi Oi","& Down","258","DEDU20700052","Last Gang Records","False","spotify:track:2mtaWSnNN9tlr2n3FaQtNN","886443666801"
"4e5d727399968e1ff800bd7f","Dada Life","","Happy Violence (Original Mix)","307","","","","",""
"5156082bdf5bcf410313e6e9","Monsta","MONSTA","Holdin' On (Skrillex & Nero Remix)","237","USQY51320574","OWSLA","False","spotify:track:1yUkvI4Pv8mbJ8VRvmAVP9","887158337604"
"5121dcba9f81f31ed7fb70bf","Feed Me","Feed Me's Escape From Electric Mountain","One Click Headshot","287","GBTDG1100417","Mau5trap","False","spotify:track:7Mw1svSngAwEaKFDjgxdiT","0883958010068"
"52935929aaa5cd0bd845ad16","Reskankulous","","Gemini- Elevate","240","","","","",""
"50c0c9bacf683a70853027fd","Zedd (Razihel Remix)","","Spectrum (Razihel Remix)","303","","","","",""
"4fce8a8bcf683a0f7400009f","Lindsey Stirling","","Violin Crystalize (Dubstep)","260","","","","",""
"51afe2a8cf683a3eb9b5da2e","The Mavrik","Discoteka 2013 Dance Club Vol. 100","Supersonic (Original Mix) ","263","","","","",""
"5037828acf683a6311000042","David Guetta ft. Sia","","Titanium( Kundo Bootleg Remix)","226","","","","",""
"522f8f29eb35c155ea94ddac","PatrickReza","","Vitals","246","","","","spotify:track:0ngeYHLnoAEqt3CQ5CcK7N",""
"50db14decf683a1addbf12e9","Hardwell feat Amba Shepherd","","Apollo","311","","","","spotify:track:5IrxDEW89aJEluzJgCFlkJ",""
"5121c6a39f81f31ed7f9c6f4","xKore","Stabs EP","Boom","259","GBS5E1100038","Inspected Records","False","spotify:track:7nqYMaaYrtkd8tPZ1LSHqh","5055199504858"
