"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"518a790c4fb0bb46a555a0bb","Knife Party","Haunted House","LRAD","315","GBAHT1300264","Earstorm/Big Beat Records","False","spotify:track:4ce29VAx1D8f3HULOHHA3K","825646447299"
"518a75102e381715c50350f1","Knife Party","Haunted House","Internet Friends (VIP)","300","GBAHT1300299","Earstorm/Big Beat Records","True","spotify:track:3UyZtf5BzjEYFJkIiIipoH","825646447299"
"51169a62cf683a58418fd6a4","Technoboy & Tuneboy","","LUKA [Preview]","204","","","","",""
"50c17ee2cf683a70813e8a5f","Technoboy & Activator","Steam Train","Steam Train","333","","","","spotify:track:203GOkPISohri1JtvdN8qC",""
"511c4bb2cf683a584c58e037","Unknown","","At Dawn We Rage - The Road To San Juan (Demo)","182","","","","",""
"51216a4b9f81f31ed7f3adf8","Dillon Francis and Kill The Noise","Something, Something, Awesome.","Dill the Noise","295","USQY51236776","OWSLA","False","spotify:track:3ic1E34WS95wFcJtF62kCD","887158001567"
"50fc5cfdcf683a73208dbbbe","At Dawn We Rage","http://www.atdawnwerage.com","Tell Me (Demo)","228","","","","",""
"512053549f81f31ed7d70b1a","Pantera","Vulgar Display Of Power","Walk (LP Version)","315","USEE10170088","Atlantic Records","False","spotify:track:7fcfNW0XxTWlwVlftzfDOR","075679175861"
"5121950e9f81f31ed7f73cb7","Knife Party","Rage Valley EP","Centipede","246","GBAHT1200224","WM UK","False","spotify:track:0u2AIKDVafHwCFQ9LDnqxH","825646581917"
"5122006f9f81f31ed7fe75a8","Kill The Noise, Brillz & Minxx","Black Magic","Saturn","332","USA2P1271808","OWSLA","False","spotify:track:2sIrBYQUmCxxhdZD5L0SCA","887158247972"
"50fd90cccf683a7326da9dc9","Mord Fustang","Taito","Taito (Original Mix)","378","","","","",""
"5120a7679f81f31ed7e1413f","The Doobie Brothers","Live At The Greek Theater 1982","Jesus is Just Alright","266","GBCBR1101380","Eagle Rock (US)/Eagle Records","False","spotify:track:54L0IKQ0XkPIPh1wPL7g2v","00826992021621"
"51222e179f81f31ed70224f4","Sound FX","Amazing Sound Effects of Birds","Ducks at a City Pond","75","US4R30906342","Hot Ideas","False","spotify:track:1Swrfk3alN8f4pDqd5xMpT","0775957072690"
"512054de9f81f31ed7d74a9d","Benga & Coki","Addicted To Bass Classics - Drum & Bass, Dubstep & UK Garage","Night","356","GBCEN0900083","Ministry of Sound Recordings Limited","False","spotify:track:0unwEQ4UFfqBOKhHgeTwVp","5051275044195"
"5121831d9f81f31ed7f5c2b8","Dillinja","All The Things / Forsaken Dreams","All The Things","413","GBBTQ1200036","Valve Recordings","False","spotify:track:0T9yVO2ZQlbKv4Q8xB8qmU","5055199502274"
"512216499f81f31ed7003cc0","DJ Hazard","FABRICLIVE 65: DJ Hazard","Air Guitar","290","GBLSB1200037","Fabric Worldwide","False","spotify:track:6ZKD3pcqoTImJUKHGLQnqI","0802560013083"
"5120584a9f81f31ed7d7bbc8","C?line Dion","One Heart","I Drove All Night","240","CAC220200288","Columbia","False","spotify:track:4Bicon0LhFcl0F6oQyOaOv","696998718524"
"511c3e2bcf683a5832cbbd64","Unknown","","Untitled","208","","","","",""
"511c301ccf683a58493fef2c","Unknown","","Untitled","509","","","","",""
"511c2fd9cf683a5832cbbbfa","Unknown","","Untitled","539","","","","",""
"511c2f99cf683a5838e7b35c","Unknown","","Untitled","504","","","","",""
"5120550d9f81f31ed7d7525c","Mark Knight and Wolfgang Gartner","Conscindo","Conscindo","450","GBJAJ1001131","Toolroom Trax","False","spotify:track:5jFLSkuJWpctA4pvbmrpf0","5052075106311"
"511c2f5fcf683a58493fef20","Unknown","","Untitled","424","","","","",""
"511c2f16cf683a5838e7b355","Unknown","","Untitled","449","","","","",""
"511c2ed6cf683a584c58dd40","Unknown","","Untitled","545","","","","",""
"511c2e8acf683a584c58dd3c","Unknown","","Untitled","425","","","","",""
"5005d4eecf683a54770001b2","Tristan Garner vs Qulinez (Feat. The Wanted, Neon Hitch, Usher, Gary Go)","Dance Floor Filth 2","Action (3LAU Extended Edit)","354","","","","",""
"5121dcba9f81f31ed7fb70bf","Feed Me","Feed Me's Escape From Electric Mountain","One Click Headshot","287","GBTDG1100417","Mau5trap","False","spotify:track:7Mw1svSngAwEaKFDjgxdiT","0883958010068"
"50eedb14cf683a34bb806ef2","Krewella","","Krewella - Killing it ( I.Y.F.F.E Remix )","388","","","","",""
"517f1df2cf683a5400b4b77d","RS","","Cuca tune","594","","","","",""
"517f1eaecf683a53f504e60c","KNIFE PARTY","","ANON MIX 02","600","","","","",""
"517f2282cf683a540958e583","mum","mum","your mum ","4","","","","spotify:track:7sv8GXYLSjtuK0MUEUo9Ix",""
"517f2016cf683a5404c64e4e","Knife Party","N/A","ANON MIX 03","600","","","","",""
"516f62482e38170b1e30224e","Sound Effects","200 Useful Sound Effects","Cow Moo","2","USI4R0912440","Novelty Sounds","False","spotify:track:4a07mrud6e5JwERWURdBJ0","887396931466"
"517f211fcf683a5407289240","Knife Party","N/A","ANON MIX 04","600","","","","",""
"512050879f81f31ed7d6aae8","Rick Astley","NDR 90,3 - Oldiehitparade","Never Gonna Give You Up (Clean-Version)","212","GBARL8700052","Ganser & Hanke Media","False","spotify:track:6JEK0CvvjDjjMUBFoXShNZ","0603877407226"
"517f21e3cf683a53f838531d","Knife Party","N/A","ANON MIX 05","600","","","","",""
"517f226bcf683a53fb1def82","Chipzel","Super Hexagon EP","Focus","162","","","","spotify:track:2cH5U1Diooe8i1zT5uyKK4",""
"517f2233cf683a5404c64e71","Knife Party","N/A","ANON MIX 06","492","","","","",""
"517f1b54cf683a540958e4f0","Kit Fysto","Cynical Youth EP [previews]","Avalanche[Preview]","263","","","","",""
"513e1974cf683a4ca7d93eb7","Bruneaux,","Creature Of Habit","Now Get It","299","","","","",""
"518a73482e381715bdaeeaba","Knife Party","Haunted House","EDM Death Machine","263","GBAHT1300266","Earstorm/Big Beat Records","True","spotify:track:6iBzUjscIAeQ2vKV67UuZM","825646447299"
"518a733f2e381715b695f955","Knife Party","Haunted House","Power Glove","261","GBAHT1300263","Earstorm/Big Beat Records","False","spotify:track:6qpaTfe6rCl55xEPT4F7Hp","825646447299"
"4e47283499968e48180046ee","TIMarbury","","TT.FM Dubstep Anthem #1","264","","","","",""
