"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4e5479ea99968e2452060944","501","Phasmatis In Machina","Circle Of Fire","307","","","","spotify:track:4tqt3zDexf0840lUbeFSat",""
"4dea903d845daf4b1c00003b","Aly Us","Follow Me (2009 Mixes)","Follow Me (Club Mix)","384","","","","spotify:track:4vT8aAfjghZY8TXRVFIaMh",""
"4f7a777399968e2628003365","Nicki Minaj","Pink Friday ... Roman Reloaded (Deluxe Edited Version)","Starships","211","","","","spotify:track:2EBCVPNAG46nbgs6jXPGvv",""
"4ec26a5f99968e416e0064aa","Childish Gambino","Camp","Heartbeat","271","USYAH1100351","Glassnote","False","spotify:track:6rvo2EAdn5U47Nn9kWhLpz",""
"4f20db5f99968e2028026d7a","Hot Chelle Rae","I Like It Like That","I Like It Like That (Goldstein Remix)","222","","","","spotify:track:5nlMlqfbxJxX94DJrcRy6Y",""
"4ff33c545a2a7a74f7000303","Flo Rida","Wild Ones","I Cry","223","","Poe Boy/Atlantic","False","spotify:track:3zrYNl1aMdFrQkcOjKVr5u",""
"4dd87ff2e8a6c44b3100027d","Cookie Monsta","Ginger Pubes \/ Blurgh!","Ginger Pubes","309","","","","spotify:track:2IuLtNArqC8frMLO8wr2qo",""
"4f581b9399968e075a05d97a","Flux Pavilion","Lines In Wax Ep","I Can't Stop","303","","","","spotify:track:03EuhmMsEHVFI9ytainStU",""
"5121a0e89f81f31ed7f7ed2a","Justin Bieber","Believe","Maria","248","USUM71205389","Island Def Jam","False","spotify:track:29U5oQA6is4paPj5m31x4n","00602537047888"
"50468d265a2a7a663d006a31","Bluetech","Elementary Particles And Prima Materia","Alchemie Dub","403","USHM90419098","Aleph Zero Records","False","spotify:track:2XUeQ24ZyyVRs62kJ5Gp9E",""
"4fe0df045a2a7a76520002fe","Alan Evans","Drop Hop","Drop Hop","190","","Royal Family Records","False","spotify:track:3NpljGXwV6dJa4gLgRFUjN",""
"4de0ac4f845daf542a000311","Screen Team","The Creeper - Minecraft The Lonely Island Creep Parody Song Tnt Yogscast - Single","The Creeper - Minecraft The Lonely Island Creep Parody Song Tnt Yogscast","161","TCAAY1125918","","","",""
"4ff90d315a2a7a2faa006c33","Milt Jackson","The Soul Jazz Legacy - CTI: The Master Collection Volume 2","I'm Not So Sure","475","","EPIC/LEGACY","False","spotify:track:1utg6wLQsEPzZ3ZiUtXs7Y",""
"4f60b51699968e401101c795","Third Coast Kings","Third Coast Kings","Cop It Proper","241","ITG581200014","","","spotify:track:28L6HGBoKAtukPbl0TVNas",""
"4f5e752e99968e40160140de","Third Coast Kings","Third Coast Kings","Spicy Brown","248","ITG581200020","","","spotify:track:5n5cuCYV6FinHZBtmT8KsI",""
"50f22c7fdf5bcf59b60fbab1","Sound Fx","Sound Effects - Animals","Cow Mooing","98","USHM20958810","Loops4u.com","False","spotify:track:4ENbHeWCfJZ5UJD8dv7Tng",""
"502c2a4c5a2a7a52be0002a5","Silence","Silence - Single","Silence","10","TCABF1243340","Silence and Sound","False","spotify:track:5yL50mfsiYNHIRsYmp6xWO",""
"50ff5a15df5bcf43321d25a5","Sound Fx","Some Sound Effects To Use","Pig Squealing","7","USI4R1201191","Novelty Sounds","False","spotify:track:1uZXXJhwlVV4gJFFbOVdsy",""
"50cfbf0e5a2a7a4c075ac9fe","The Dan","Pop Danthology 2012- Mashup Of Top 50 Pop Songs 2012","Pop Danthology 2012- Mashup Of Top 50 Pop Songs 2012","480","TCABK1295095","Dan","False","",""
"4e0ea1e899968e5156000843","Jon Lajoie","The Best Song - Single","The Best Song","198","TCAAY1195107","","","spotify:track:6uQqn5qnkEnbpPbvjenv5C",""
"4df8f2b099968e376800015b","Pok?mon","Pok?mon 3: The Ultimate Soundtrack","Pikachu","247","","","","spotify:track:2bNVKoFzOQT30VnEjmXa95",""
"503c093d5a2a7a66ef00ca65","Mashup DJ's","We Are Young (Remix Tools For Mash-Ups)","We Are Young (Instrumental Mix) [Re-Mix Tool]","235","USA561240149","On-The-Go Music","False","spotify:track:3XvzPFge72FVtPd6STT4m9",""
"4f4d294899968e076503354d","Borgore","Flex Ep","Kiss My Lips (Feat. Dev)","246","GBD9Z1200063","","","spotify:track:22RzNCXeeCNd2J0m2SYdA2",""
"4ffb22c45a2a7a5321005cd8","Pink","Blow Me (One Last Kiss)","Blow Me (One Last Kiss) (Clean Version)","256","","RCA RECORDS LABEL","False","spotify:track:5l6ARjj2Y33ZdgcX39t9G3",""
"5055361ae779894d11000779","Guvna Dub","The Guvna Dub Sessions","Fallujah Dub","299","US25T9921301","ROPEADOPE","False","spotify:track:17tRsiZnyLbxEraiaM9EyK",""
"4def0e6d99968e652b00029b","Warren G","The Death Row Singles Collection: B Sides, Remixes And Rarities (Parental Advisory)","Regulate (Jammin' Remix)","230","USKO10701263","","","",""
"4dd85c91e8a6c42aa70005ff","DJ Khaled","All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross) (Single) (Parental Advisory)","All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","233","USKO11000176","","","spotify:track:6u5M4jPpYkoRV4vVHDQvkd",""
"4e40738399968e5a8c17011e","The Escape Frame","The Escape Frame","Rock With You","224","USAEA0810024","","","spotify:track:44SkXnt49EBlLUM1Acpvhv",""
"4dfbfd3b90216869b3000043","Bob Marley","Rastaman","One Love","202","","","","spotify:track:7cRTzS9N5Mn25ZZkzmp6Uy",""
"5084ba835a2a7a26a500c36b","B.O.B. (feat. Bruno Mars)","2011 Grammy Nominees","Nothin' on You (feat. Bruno Mars)","224","None","Jive","False","spotify:track:0AgBcWDlfNvn28JohIuG9m",""
"502ab1ad5a2a7a76b3000154","Gorillaz","Feel Good Inc","Feel Good Inc (Single Edit)","169","GBAYE0500440","EMI UK","False","spotify:track:5X8JsjFSL4hdG37ENyDGPT",""
"4de65de6845daf4c75000a69","Zombie Nation","Kernkraft 400 Single Mixes","Kernkraft 400 (Sport Chant Stadium Remix)","331","DEZ200600040","","","",""
"4dd6fb4ae8a6c4401900002f","Hudson Mohawke","Butter","Fuse","191","","","","spotify:track:0rJu6zgrRvxdOpWgWAtqJj",""
"4df7d39999968e398a00004b","#1 Beatles Now","# 1 Beatles Hits - The Best Of The Beatles","All You Need Is Love (As Made Famous By The Beatles)","232","USA561009746","","","spotify:track:69vz0eR8Y5BturogJlYCmY",""
"500479aa5a2a7a1db30015c8","Rameses B","Inspire - Ep","Moonlight","344","","Rameses B","False","spotify:track:5ZBemWNJFt6Ne1ay2vjVJD",""
"4f7904b899968e401c072401","Chester See","Bromance - Single","Bromance","167","TCABE1284031","","","spotify:track:6VpFSzFEVGy2VEvQTQJYod",""
"5037421c5a2a7a7b32003b99","Owl City","Of June","Captains And Cruise Ships","209","USZXT0835572","Owl City Catalog","False","spotify:track:4wVURZ53jU7NJIWKTuVrrq",""
"502c11b65a2a7a1a2e000e87","The Axis of Awesome","Animal Vehicle","4 Chords","349","USHM21156026","The Axis of Awesome","True","spotify:track:6yk79gDdiqe76K6qOWwvFV",""
"50cfbf0e5a2a7a4c075ac9fe","The Dan","Pop Danthology 2012- Mashup Of Top 50 Pop Songs 2012","Pop Danthology 2012- Mashup Of Top 50 Pop Songs 2012","480","TCABK1295095","Dan","False","",""
"4e0ea1e899968e5156000843","Jon Lajoie","The Best Song - Single","The Best Song","198","TCAAY1195107","","","spotify:track:6uQqn5qnkEnbpPbvjenv5C",""
"4df8f2b099968e376800015b","Pok?mon","Pok?mon 3: The Ultimate Soundtrack","Pikachu","247","","","","spotify:track:2bNVKoFzOQT30VnEjmXa95",""
"503c093d5a2a7a66ef00ca65","Mashup DJ's","We Are Young (Remix Tools For Mash-Ups)","We Are Young (Instrumental Mix) [Re-Mix Tool]","235","USA561240149","On-The-Go Music","False","spotify:track:3XvzPFge72FVtPd6STT4m9",""
