"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"512050f79f81f31ed7d6b7c3","The Black Eyed Peas","The Beginning & The Best Of The E.N.D.","Rock That Body","268","USUM71101061","Interscope","False","spotify:track:1wkcHasramB3g0cPOgos6l","00602527647098"
"5120632d9f81f31ed7d92eaa","Nico","All Tomorrow's Parties","My Funny Valentine","242","USA370576159","Purple Pyramid Records","False","spotify:track:6n4qXB1sahIzofH9Tkqi4h","803680207055"
"51205ccb9f81f31ed7d850e2","Wiz Khalifa","Say Yeah","Say Yeah [Radio Edit]","223","USWB10705649","Warner Bros.","False","spotify:track:6QAlLlhH9OxKng6N3rHatd","054391994561"
"512051aa9f81f31ed7d6d04d","Queen","Greatest Hits","Don't Stop Me Now","210","GBCEG7800014","Hollywood Records","False","spotify:track:3lrNq7iGL5r3KS93YiKAbC","00720616126528"
"512051609f81f31ed7d6c691","Passion Pit","Manners","Little Secrets (Album Version)","239","USSM10901007","Columbia","False","spotify:track:3kb38wezoUA8ki5jPYy3t5","884977509533"
"513385e80f812c66d38e9754","Toby Keith","Clancy's Tavern","Red Solo Cup","226","USUM71113863","Show Dog Universal Music","False","spotify:track:47nm8czanMUzIqHsnr5x61","00602527697185"
"5120556e9f81f31ed7d76077","Justin Bieber","My World","Favorite Girl","257","USUM70902890","Island Records","False","spotify:track:2ExDOkVH2e1oElyTVzF77q","00602527283142"
"5121807a9f81f31ed7f58b8b","Dark Sky","Black Rainbows EP","F Technology","281","GBTQV0800154","Black Acre","False","spotify:track:0LbygKh1CcAqCd44lCSiiM","5051142031471"
"512054199f81f31ed7d72b2e","Bowling For Soup","A Hangover You Don't Deserve","Ohio (Come Back To Texas)","230","USJI10400784","Jive","False","spotify:track:4NRysDAWZYDptR95RN7TL7","7dig828766526851"
"515ceb509f81f3599b0d1f9b","Hot Chelle Rae","Whatever","Tonight, Tonight (NOW What's Next Bonus Track)","200","USJI11100019","RCA Records Label","False","spotify:track:2i0AUcEnsDm3dsqLrFWUCq","886443213029"
"509ee96acf683a0d46626e60","Kitsune?","","Go Beyond (k2 remix)","144","","","","",""
"5120586b9f81f31ed7d7bf8b","Boys Like Girls","Love Drunk","Love Drunk","229","USSM10903442","Columbia","False","spotify:track:20X9OeC606XNwEtDBOym5u","884977241747"
"516ea300cf683a4b740825a9","Fall Out Boy","Save Rock And Roll","The Phoenix","245","USUM71302620","Island Records","False","spotify:track:53AuxddsgPSlqM619nJhSd","00602537331086"
"51d974a29f81f320c6cc4319","David Guetta","Little Bad Girl","Little Bad Girl (feat. Taio Cruz & Ludacris)","192","GB28K1100020","Parlophone France","True","spotify:track:0CduxlOzfHdXicslce8tBy","5099908750853"
"5121132e9f81f31ed7ebbada","Outasight","Tonight Is The Night","Tonight Is The Night","190","USWB11102825","Warner Bros.","False","spotify:track:0tr0D36L1RwPdUTFfyNq37","054391978486"
"512171ef9f81f31ed7f450f5","Katy Perry","Katy Perry - Teenage Dream: The Complete Confection","Wide Awake","220","USCA21200932","Capitol Records (New Release)","False","spotify:track:5JLv62qFIS1DR3zGEcApRt","5099930125858"
"51204f1b9f81f31c6a19263a","LMFAO (feat. GoonRock & Lauren Bennett)","Sorry For Party Rocking","Party Rock Anthem","262","USUM71100061","Will I Am / Interscope / Party Rock / Cherrytree","False","spotify:track:1CNJyTUh56oj3OCZOZ5way","00602527723143"
"512052a29f81f31ed7d6eff8","Tenacious D","Tenacious D","Tribute","248","USSM10108746","Epic","True","spotify:track:6crBy2sODw2HS53xquM6us","884977716504"
"5121cc439f81f31ed7fa1844","10 Years","Minus The Machine","Tightrope","254","QMRRD1200009","Pale Horse Records","False","spotify:track:0YjxRSQMpaSKBPOv8TNAB7","075597961775"
"512055bf9f81f31ed7d76c5e","Secondhand Serenade","A Twist In My Story","Fall For You","186","USYAH0700007","Glassnote","False","spotify:track:7lWF2mVr1KKbVnaT2nSlPo","075597994957"
"512050489f81f31ed7d6a3ba","Edward Sharpe & The Magnetic Zeros","What to Expect When You're Expecting Soundtrack","Home","303","USVR90954206","Capitol Records","False","spotify:track:10ViidwjGLCfVtGPfdcszR","5099963522853"
"512d79a84fb0bb756a29fc45","INXS","Kick","Need You Tonight","180","AUWC41010228","Rhino Atlantic","False","spotify:track:5eU8qMd0TpaLqTGDZJaLDs","603497943555"
"5121059d9f81f31ed7ea83f7","Neon Indian","Era Extra?a","Polish Girl","264","USQE91100051","Mom + Pop Music","False","spotify:track:2JGSZk5y65ZF79mtDz0o9r","886443145276"
"512055009f81f31ed7d75072","Ultraviolet Sound","Ultraviolet Sound","Girl Talk","247","USJKX1000067","Odds On Records","False","spotify:track:6KJWeRAq6pPo6Eg5oSz7r4","895010002263"
"5121210a9f81f31ed7ed00fa","The Wanted","Glad You Came","Glad You Came","198","GBUM71107952","Mercury Records","False","spotify:track:1OXfWI3FQMdsKKC6lkvzSx","00602527849621"
"512110c79f81f31ed7eb80f0","Dj Hot Picks","Take Over Control (Tribute To Afrojack)","Take Over Control  (Dubstep Remix)","299","USA371383728","Hypnotic Records","False","spotify:track:51qfPKA2Ciob9iPCY0DuJS","886788019737"
"512051c29f81f31ed7d6d3ff","Ok Go","Oh No","Here It Goes Again","180","USCA20500270","Capitol Records (New Release)","False","spotify:track:1pHP4JeQV9wDx87D6qH9hD","0724357880053"
"51205da09f81f31ed7d86884","Nicole Scherzinger (feat. 50 Cent)","Right There","Right There","262","USUM71106610","Interscope","False","spotify:track:2X5MRkOPx9PlkodmllL036","00602527699745"
"5121aa2c9f81f31ed7f866cb","Maroon 5","Overexposed","Beautiful Goodbye","255","USUM71204790","A&M / Octone Records","False","spotify:track:7fPVjoqZnXabcYkk7TIWMT","00602537038794"
"512050569f81f31ed7d6a4f5","Jay-Z","The Hits Collection Volume One","Empire State Of Mind [Jay-Z + Alicia Keys] (Explicit Album Version)","277","USJZ10900031","Universal/Island Def Jam","False","spotify:track:69yVxyuRahEzs2taFMVVoO","00602527231600"
"512145c59f81f31ed7f06b35","Train","Drive By","Drive By","196","USSM11106876","Columbia","False","spotify:track:1wAXODAAL6hY64ZdhrnjBO","886443327832"
"512053729f81f31ed7d70fc5","50 Cent (feat. Nate Dogg)","Get Rich Or Die Tryin'","21 Questions","224","USIR10300002","Interscope/MCA","True","spotify:track:41bIQPBE1lFN0mmw6Lmssz","00606949354428"
"512050989f81f31ed7d6ac66","Jay-Z","The Hits Collection Volume One","99 Problems","235","USDJ20301460","Universal/Island Def Jam","True","spotify:track:1vFVOr0psCHVWjjK2Jp298","00602527231600"
"5120518c9f81f31ed7d6cbe3","B.o.B","B.o.B Presents: The Adventures of Bobby Ray","Don't Let Me Fall","275","USAT21000475","Rebel Rock/Grand Hustle/Atlantic","True","spotify:track:3myI1o0izYfh2z9JTQzCfJ","075679985095"
"512054ba9f81f31ed7d744ab","Kevin Rudolf (feat. Lil Wayne)","In The City","Let It Rock","231","USCM50800823","Cash Money/Republic Records","True","spotify:track:2vVc2G9w2JteBgxpSUVwX5","00602517901452"
"512116e49f81f31ed7ec14de","Snoop Dogg","Young, Wild & Free","Young, Wild & Free (feat. Bruno Mars)","207","USAT21102233","Rostrum/Atlantic","False","spotify:track:3FNy4yzOhHhFBeA5p4ofoq","075679965721"
"512050cb9f81f31ed7d6b2ec","U2","U218 Singles","Beautiful Day","248","GBAAN0000196","Interscope","False","spotify:track:0G5F2msfVO77xs7ql2RiTS","00602517138957"
"51216df99f81f31ed7f3f831","One Direction","Up All Night","What Makes You Beautiful","200","GBHMU1100018","Syco Music UK","False","spotify:track:4cluDES4hQEUhmXj6TXkSo","886443303485"
"51218c009f81f31ed7f6831b","Porter Robinson","Language","Language (Original Mix)","368","GBCEN1200388","Big Beat Records/Atlantic","False","spotify:track:4ta97KyyCWLCQAAFtOWFpy","075679961655"
"51212e349f81f31ed7ee47ab","Rihanna (feat. JAY Z)","Talk That Talk","Talk That Talk","210","USUM71118086","Def Jam Records","True","spotify:track:7ksS2VMMt5ZDSpZOQTVj73","00602527878409"
"52288efb9f81f30cccb49bdc","Estelle","Total Club Hits Vol. 2","American Boy [Feat. Kanye West] Album Version)","285","USAT20706210","Thrive Records /IDJ","False","spotify:track:41on8RwRh22IHcChAN2gm8","00651249079922"
"519cd9362b05564141da40b2","Daft Punk","Random Access Memories","Get Lucky","367","USQX91300108","Columbia","False","spotify:track:69kOkLUCkxIZYexIgSG8rq","886443927087"
"52331bb4eb35c11c13b93849","LordeMusic","","Royals","190","","","","",""
"512116a29f81f31ed7ec0de6","Porter Robinson","Spitfire","Unison (Knife Party Remix)","298","USQY51142739","OWSLA","False","spotify:track:62PdGwG6Hv8sCyd29ExKEq","881034877758"
"5267df1e9f81f30fc89d19e8","Buddy Holly","Maybe Baby","Every Day","128","US6R21223558","Black Sheep Music","False","spotify:track:5Xj7g4mOHyP1Ek28VAXxQU","887396464667"
"51212e469f81f31ed7ee49bf","Rihanna","Talk That Talk","Cockiness (Love It)","178","USUM71118090","Def Jam Records","False","spotify:track:3jYW03V9XeM2w7LJ0EXQDC","00602527878409"
